text,label
i also get this as another take home message you need to push your own limits do things that make you feel uncomfortable that scare you,4
i feel that popular culture especially in the uk and the usa is mired in an unsavoury mix squalor and stupidity,3
i just found out that my gut feeling unpleasant though it was was correct,0
i am feeling very blessed today that they share such a close bond,3
i still feel extremely helpless,4
i am feeling inspired,3
i feel insulted by saying real is bigger than man u real is a cows shit,2
i feel loyal to skirtsports,1
i just finished watching the desendants and young adult and im left feeling strangely blank,0
im with my boyfriend and friends i feel fine and genuinely happy but the minute im alone i feel depressed,3
i cannot help but feel insulted that my master did not see the need to greet me upon my waking,2
i feel thrilled and quite humbled i wasn t expecting anything like that and it s a funny feeling,3
i feel that i am smart person who thinks about things before i do them and i try to keep a level head on me,3
i confess to struggling this weekend many times at the end of the day i would feel sad and whine to my af adorable fiance that i waaaant to eaaaat,0
i feel liked because people clicked like,1
i feel like its one of the most valuable tools in my art box,3
i feel especially troubled is the fact that these israelis arguably constitute the section of society most inclined to reach a deal with the palestinians,0
i experience genuinely great i feel delighted,3
i will just say that i feel jealous and angry,2
i feel a petty sting of worry that i wont have tv reception for the breeders cup,2
i feel some kind of artistic stream in my head,3
i do not know if ill ever get used of feeling inadequate in as much that ive always prided myself to be a person who have somehow already established himself in a cut throat industry where second guessing your expertise and decision can ruin global corporations,0
i feel i would stop trout class delicious title share this on del,3
i wanted to press charges against the people up the street and i guess he didnt feel like being bothered,2
i was feeling slightly more lethargic on the first two weeks but i was back to my normal energy levels this week,0
i have a lot of feelings of love and warmth for her but sometimes i think i tortured her,2
i stand between the two but did not hold off their eye contact this let in one of the wangxuehai feel awkward at that time actually don t know what to say,0
i feel like i have an ugly duck face when i see him,0
i know that right before going into the psych ward i was my lowest ever and hadn t eaten in two weeks and then i had to eat and then i had to take a bunch of medications and the weight just went sky high and i feel terrible right now,0
i want people to have confidence that if they were in my chair they would leave looking and feeling amazing,3
i feel so dissatisfied angry and embarrassed,2
i almost always feel the inside of my tire but in my rushed state i failed to do this important step,2
i feel cool because the plane has four seats instead of only two,3
i didnt regret anything after bought this and i feel so satisfied about it thankyouu lt,3
i sin against him and am filthy before him and yet i only feel his gentle love beckon me back into his arms and feel his righteousness rush over me,1
i feel such gratitude for the generous gifts we received on our wedding day over years ago,1
i didn t feel accepted,3
i am just making people upset and feel irritated,2
i feel so incredibly hopeless about losing weight,0
i go home feeling simultaneously gutted and determined,3
i stood for a few minutes more feeling a strange heavy numbness settling over me even as my heart beat faster then slowly sat down again thinking,4
i hope you do because otherwise your wife will start to feel if she hasn t already unimportant in your life,0
i wrote feel there rather than think or believe because i know objectively that i am smart probably smarter than most people but most of the time im more conscious of what i dont know than what i do know,3
i was feeling a little unsure about my retro flowered piece,4
i usually love being home im starting to feel anxious about all of this,4
i would come inside in the evenings bone weary and covered in muck feeling like i was finally accomplishing something worthwhile something in which i could have real pride and joy,3
i feel i have rushed moments where i begin to take this life here for granted i just look at them they look at me and my graced life becomes the stage again warts crushed worms under foot and all the other conflicts that come with it,2
i can have for a treat or if i am feeling festive,3
i still feel crappy ill take it as a sign that i need to get things finalized here for the kid,0
im feeling the christmas spirit so it seems like the perfect time to mention an idea ive had swimming around in my head,3
i always think about are act the way i want to feel so even when im grumpy i still need to act pleasant and happy and then i will start to feel more that way,2
i feel like if he was innocent he wouldn t feel like he has anything to prove,3
i feel a bit frantic today with everything i need to get done,4
i feel so disgusted with myself for feeling the way i do,2
i was sleeping when i heard the neighbours screaming,4
im feeling appreciative of the physical world around me and if there are other riders in sight i often admire their physical stamina and riding style,3
i feel like ive been punished and i can turn it around and dont have anything to be afraid of,0
i figured i have to blog about what i feel passionate about or im not doing myself or this blog any justice,1
i wasn t sure what prompted the thought since i m feeling so blessed these days and the idea of giving up hasn t been a part of my thought process and rarely is in as long as i can remember,1
i was feeling hesitant to part with any more money after my spendy trip to melbourne i chose instead to modify my existing copy of a href http www,4
i am feeling quite apprehensive regarding this module as it will be the first time i ve dissected a human body wonderfully donated to the biomedical services of the university by generous members of the public and the first time i ve had to learn anatomy in detail,4
i feel at this point i have to give some credit to my beloved former teacher ajahn brahmavamso as well as all other little and big gurus and lovers i had in my life,1
i feel reassured that i was able to observe myself clinging with such clarity,3
i brought it to god and as im dying or feeling low during the killer push ups or power kicks i just say lord help me i can do this and i am,0
i guess i feel a little vulnerable because i have to undergo all these physical changes in front of the whole world and it seems a little daunting,4
i would have depressions and feel like a burden to my husband who is supporting us,3
i wait to hear if you feel i should find this is acceptable,3
i have posted thus far and keep up with what else is to come please feel free to a title celeen gallery amp gifts facebook page href http http www,3
i feel blessed that i am allowed to take things for granted,3
i always feel guilty and come to one conclusion that stops me emily would be so disappointed in me,0
i started to question whether or not i was on course because i was feeling that confused,4
i can feel her pissed off attitude towards me from far away,2
i often feel embarrassed for amount of time spent preparing for practice and games as compared to lessons,0
i know what a car feels like when its running out of gas so i maneuvered to a blank spot in the parking lot and had myself a little think,0
i wrote words without really feeling all that distressed about it,4
i gotta feeling that tonight s gonna be a good night as i follow you home break in and hug you through the shower curtains as you shower,3
i love the foamy feel it is so gentle on the skin doesnt sting or irritate whatsoever,1
i also feel paranoid and anxious,4
i feel so squeezed hate this feeling thats why i dont really like squeezing on buses or in the mrt unless im with people which wont be that bad as compared as being alone,0
i end up feeling lonely,0
i am feeling so helpless ma i am being unable to fight your illness i am being unable to take you out from that pain i feel helpless today,0
i was feeling all depressed about fabric prices and about how much money this hobby costs,0
i actually feel a bit reluctant to really tell you too much about it,4
i have a mini list of good things about me that i can refer to the next time i m feeling shitty,0
i did not feel very much convinced of likelihood of dennis weaver to be using cocaine,3
i find myself feeling so lost and desperate because of the things that happen every day but being a human of course i have times where i just cannot be comforted,0
i feel it in the knot that forms in the back of my throat i feel it in the pit of my stomach i even feel it in my hands as they begin to go numb when my thoughts dwell on the particular shame filled topic,0
i cannot imagine what african americans feel inside their hearts and guts when they see such a hateful image,2
i type this i can see my unacceptably huge muffin top protruding out of my top and i feel disgusted that i am letting all my hard work of previous rounds go to waste,2
i feel horny tonight a href http www,1
i was feeling a bit nostalgic and typed all this up literally without thinking about what i was writing,1
i really do like the feeling of accomplishing something worthwhile,3
i also feel slightly relieved that we didnt have it out with him about the racist language,3
i have just been feeling so thankful humbled and blessed for my family and where we are in our life,3
i must tell you that i have been doing much more yoga lately and i feel all lovely and loose in my joints and muscles,1
i truly feel that if you are passionate enough about something and stay true to yourself you will succeed,3
i first had cordelia i didnt feel a strong urge to run which is strange for me but it has come back,3
i feel invigorated full of energy ready for the day ahead,3
i believe my ground game is where i feel most superior,3
im feeling incredibly grumpy today a combination of hay fever rain and the stress of our hopefully imminent move,2
im tired of feeling annoyed and drained,2
i do feel completely isolated,0
i feel pretty rotten,0
i came to tv stations for first debut stage i feel like it was an joyful miracle,3
i was going to tell you more about my trip to oregon but right now im not super feeling it and reading about other peoples vacations gets a little boring right,0
i feel so ungrateful when thinking saying these things but im not sure how to make myself better,0
i mention that i feel really unwelcome,0
i feel joyful somehow i feel lost i do not know whats going on or what i am supposed to do next,3
i do love the idea of having slave brothers but not at expense that i feel ignored lonely and frustrated and so depressed,0
id love to go shopping for sure because i am annoyed feeling bitchy as of right now towards everyone especially you you you,2
i was feeling a bit skeptical about my frog prince,4
i mean i feel even more disgusted at myself after ive moved here when im usually just disgusted at the human race in general something like that,2
i was doing less yoga and feeling more agitated by my impetuous decision,4
i was so depressing i feel like i broke up this was a week after she got engaged,0
i also feel that it should be pence as i am sure readers will not mind paying that,3
i was looking at her and leaning a bit forward feeling really keen on to her,3
im feeling positive but its impossible to describe the busy exhausted adrenaline filled craziness of having a preemie in the nicu,3
i feel like im a gorgeous person,3
ive been feeling quite nostalgic lately so i thought i would compile a list of my favourite books from my childhood,1
i had tuition the next day because i wasnt feeling well n i felt so damned sleepy,3
i want that feeling that someone is devoted to me and wants to keep me strong and go through things with me,1
i yori aoshi and possibly other stuff brought back a lot of old forgotten values and feelings i had towards a relationship if anything the innocent feel to it where nothing is complicated and its just about being with each other,3
i went to bed feeling pretty proud of myself even with the flubs i had a positive day,3
i just feel enraged and impotent seemingly unable to enact the change i want to see,2
i was made to feel ashamed of who i was,0
i have a lot of respect for this kind of photography more than what i feel towards that fake sort of thing consisting mostly of fog effects and girls who look just out of a lewis carroll s novel a genre held in regard by many emerging photographers,0
i am so excited to meet her honored i get to carry her feel so special each and every time she kicks,3
im all about helping people integrate their feelings thoughts and actions through creative expression,3
im feeling so melancholy all day i know this is because ive been reading the perks of again,0
i have lost lbs have never been sick got off blood pressure and cholesterol meds and i feel terrific,3
i feel an ache when my phone chimes and it s not a sweet text from my sweetheart,3
i didn t feel ecstatic after each workout or anything like that,3
im not really terrified of childbirth this time around and even though i know no matter what unexpectedly pops up you really can survive it and even though the author of my baby planner would be beaming with pride that i followed her instructions to the letter im still feeling a bit uncertain,4
i feel incredibly mellow and spacey,3
i would feel really dumb,0
i wish santa claus was a real person cause i didnt feel as greedy when i was a kid and thought i was getting my loot for free,2
i was feeling reassured,3
i wear this story as a protection from feeling the vulnerability of merely loving and depending on another human,1
i find enlightening and brilliant when i am feeling joyful can be annoying and slightly grating when the cluttered mind gets going,3
i feel that i am not valued i am under paid and worked like a slave unfortunately this is not just a personal feeling,3
i feel more outgoing than ever,3
i hope all of you epers feel terrific too,3
i was feeling particularly discouraged at how little weve seen of him lately and i decided that i needed to stop being negative and instead refocus my thoughts and remember some of the many things we have to be grateful for right now,0
i feel rotten and ive forgotten myself,0
i am definitely feeling a bit melancholy but ill save the reflections for tomorrow,0
i feel is love and peace acceptance and a gentle guiding an encouragement to have faith and stand tall regardless of human reactions and to rest regularly in the field of love within via meditation,1
i hope she leaves you and i hope you feel heartbroken that you messed up your marriage,0
i feel like it is a valuable addition to any teachers repertoire,3
i feel threatened by people who actually learned stuff in college,4
i might do some self analysis just to maybe show you all how to do it yourselves if you want to or i ll talk about certain activities or exercises that will help you feel better or become a better person,3
i feel that anger toward someone else not caring about someone else being selfish creating a negative impression of someone else not noticing the person next to them not saying hello to someone they must recognize where is my good heart,1
i understand now feel what my beloved meant when he said i wish there had never been anyone but you,1
i started to feel a lil bit pissed off when i shared out advertorial by creating blog post or sharing in my social networking but there are some other people out there sharing out their adverts by asking people to click on those links,2
i feel quite distracted as mum told me that my paws werent looking their best so instead of a nap ive had to do another pawdicur,2
i contributed my ideas and opinions during discussions and i feel that i contributed ideas that were valued and taken into consideration,3
i can t help but feel amazed,5
i then felt a feeling of awkwardness and discontent cuz he said yeah me too and not im sorry,0
i still find myself visiting there on my blah days when im feeling lost on how to obtain the joy of a peaceful existence,0
i can stop feeling discouraged or full of self pity when another wave crashes down on us,0
i was and championed me to feel and be fearless,3
i have i feel pathetic for lying if i say no,0
i feel like being casual,3
ive been sitting in my wheel chair to move laundry and while the chair isnt terribly maneuverable due to the confines of the small laundry area at least it feels fairly safe even it it is still quite a struggle,3
i feel like he is kinda cute too,3
i was missing him desperately and feeling idiotic for missing him,0
i feel lucky really,3
i finally decided that it was partially due to the fact that i feel that the posts should have something important or at least interesting to share,3
i feel i should say what i want since you are in fact reading my diary i feel that many of my beloved readers are becoming offended with some of the things i say and post here,3
i feel appalled at my sadness and hurt,2
i have a feeling its going to be a little sweet for my tastes,1
i am feeling isolated with this infection as i have not told any of my friends only my sister and my mother who do not live close to me therefore feel i don t have anyone to talk to,0
i began to feel woeful as i stared into the abyss of goal less task less list less ness but luckily huda came to the rescue with in,0
i will choose not to focus on him instead focusing on how i feel i will try not to focus on him and instead of being agitated by him i will choose to let the negative feeling go,4
i feel like i havent sit still since my birthday which i am loving,1
im feeling apprehensive about it,4
i feel idiotic but now my friends and family are going to make fun of me for it and now that i thought i had a good reason to be proud this shit happens,0
i felt even more frustrated and discouraged when i realized my reputation had been damaged but i also realized i had a choice i could feel resentful for the situation i was in or i could rebuild my good reputation,2
i must say that i feel a little depressed because everything i know could be completely meaningless,0
i like the feel of the game but im not very fond of the color scheme,1
i dont remember a day i was not romantic and feel passionate about the feeling of life,1
i feel freaking fantastic this morning,3
i had been feeling resentful of my parents for some few hours,2
i wrote maybe a truth because i want to tell one guy something and i am afraid to tell him how i feel because he pissed me off,2
i dont know what exactly i feel mostly annoyed and bored and upset and that kind of negative emotions,2
i kind of asked somebody if they confirmed my feeling and they ignored me so i guess i went on,0
im still a little mixed on how i feel about him back especially because i liked the a href,1
i feel not having a generous spirit or a forgiving nature closes me off from accepting gifts from the universe,3
i feel pathetic and uninspired,0
i feel it has damaged your relationship with tygerman and ours with each other,0
i am feeling a bit discouraged but am hopefull the bees will know what to do,0
i must say it was first numb then ouch my head feel dazed,5
i wouldnt feel suspicious for muslim terrorist like to blow things up hijack planes kidnap use bio warfare and shoot,4
i know that i m going to get my dark chocolate every day and not feel deprived,0
i allowed myself to eat foods that i know bother me because after all since i feel awful it may as well have come as a direct result of eating something i enjoy,0
i am sorry if you feel offended by my humorous statement my friend,2
i mean i feel like i always have to be someone else for people to like me becuase they wont understand my sarcastic side,2
i feel i cannot be loyal i should step down,1
im not allowed to do anything outside of the house until ive lost weight until im thin enough to feel acceptable,3
i need not feel annoyed that they beg but rather love them and feel compassion that circumstances have compelled them to resort to begging,2
i cant feel remorseful for saying it,0
i kept trying to feel shocked or depressed or somehow affected but i could not,5
i feel for the death of this innocent child i dont trust her or her story,3
i feel pathetic because i shouldn t complain about these things when out there people are having really hard times and this is only bullshit,0
i also at first felt a hint of guilt but it was for a short period of time and then i just started to feel pissed off with the harassment,2
i feel honestly sorry for you,0
i remember feeling so thankful to be able to put my feet up and enjoy taking care of newborns right before id be able to take care of my own,3
i feel for you despite the bitterness and longing,1
i feel eager to push forward but so far havent applied myself completely to it,3
id been feeling a bit curious,5
i pretty much get a feeling that i am not liked at all by them,1
im only trying to tell you exactly how i feel beeeeeeeeeeeing this sincere,3
i don t feel sorry for wisdom i know how many sleep hui live to be now and enthusiasm for the new china s socialist construction work,0
i would eventually go in to these stores but i had to work up a lot of courage and i would still feel super uncomfortable once inside which we all know is not normal for me,3
i feel superior but in the end i feel worthless and i feel everyone else to be just as worthless,3
i had been feeling which was longing to be able to put my comfy amp forgiving yoga pants on at the end of the work day,1
i feel no i have not been the victim of a violent crime and no i have never had to deal with a girl being pregnant with my child,2
i still didnt feel satisfied with and about myself,3
i feel like the world is just being bitter and cold but its degrees out sunny and bold something went a rye before early tea time and i cant figure it out yet,2
i wrote this article because if the extroverts can become more educated about introverts introverts will be able to feel free to stay true to who they are and that s a good thing from society s point of view,3
i walked away from her i was left feeling slightly crappy about my life she s one of those women who ll subtly put you down put your children down too given half the chance,0
i have had i feel like there is not too much i can feel thankful,3
i feel very strange today,4
im not crying in a corner or feeling so out of control irritable that i cant handle it,2
i still feel quite contented amp happy lah,3
i remember sometimes feeling relieved to be around my grandparents and older people,3
i just feel its more romantic when these characters do not jump on each other on the first opportunity they get,1
i feel that if i surrender to what life has to offer me what life has to teach me then i can rest assured that it s all meant to lead to my ultimate happiness,3
i am good at what i do at helping and reaching kids that are often shrugged off as aggressive not worthwhile or unpleasant makes me feel useful,3
i feel like they hated me but i m too scared to listen to the tape,2
i have panic attacks when the phone rings and just feel so isolated,0
i am feeling extremely disturbed and distressed,0
i was creating a relationship to counter a self accepted and allowed self definition of being inferior to them which means i was feeling lousy thinking i was less than because i was not being in the limelight of praise of gain,0
i feel so cool like ice t huhwe neun gatda beoryeo priceless sesang ye ban bani namja neottaemune na ulji anha gucha hage neoreul jabgeo na mae dallil ireun jeoldae no,3
i have a feeling all these days of troubled minds are useless i will let it remain status quo eventually d,0
i feel that my charlie card is much more valuable than my credit card,3
i feel worthless confused edgy and mentally drained,0
i guess i could say i was feeling pretty shitty like all the feelings ive suppressed from truc were starting to arise,0
i see the more i feel is fake,0
i only feel such an aching rush if im hearing it,0
i like the three finger hands those simple details give it that otherworldliness feel again the paint choices while not terrible by any stretch of the imagination it doesn t blow me away and i would have liked to have seen these both in translucent blue,0
i feel that my heart broke for barney,0
i am sure he has no idea the way i truly feel not only am i immensely attracted to him but he is intelligent and we can actually enjoy conversation,3
i woke up this morning feeling hopeful and energetic,3
i feel this game is so precious to everyone not only to the players,3
i feel sort of helpless,0
i feel really groggy today like my entire face and body is suddenly all thick and mud like,0
i zapper controls seemed to feel the most user friendly and you could easily access everything with them,3
i feel accepted by the boys,3
i am beginning to feel like a fabulous adult,3
i feel like i have to fucking go back and clarify every statement so that i dont get people agitated,2
i am right now made me feel special,3
i feel super awkward and out of place right now,3
i still can t shake the feeling of him loving us both equally,1
im feeling a little giggly here,3
i feel guilty for protecting myself when instead i should put more effort into supporting those around me,0
i am feeling neglectful i feel like i should have stayed for a month or two but i could not,0
i have a feeling that the robin that builds her next under our deck is getting pissed too,2
im just feeling grumpy and impatient and im ready to get things moving,2
i feel perfect with you on facebook href http www,3
